"lat","long","presence","year","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
60.17,22.206,0,2024,NA,4.91666650772095,5.04166650772095,5.5,3.91666674613953,2.91666674613953,3.58333325386047,5.04166650772095,3.25,5.29166650772095,6.08333349227905,NA,3.91666674613953,4.58333349227905,4.41666650772095,17.3333339691162,17.6666660308838,17,17.6666660308838
60.17,22.206,0,2024,NA,4.91666650772095,5.29166650772095,3.20833325386047,2.41666674613953,NA,2.25,3.41666674613953,NA,6,4.375,NA,5.08333349227905,4.83333349227905,4.58333349227905,17.8333339691162,17.6666660308838,17,18
60.17,22.206,0,2024,NA,4.91666650772095,5.04166650772095,3.625,NA,6.04166650772095,4.875,4.25,5.16666650772095,3.375,4.95833349227905,4.75,NA,4.875,4.375,NA,18,17,18
60.17,22.206,0,2024,NA,4.91666650772095,5.29166650772095,3.83333325386047,2.70833325386047,4.16666650772095,5,4.625,3.70833325386047,4.79166650772095,4.5,3.91666674613953,6.08333349227905,4.54166650772095,4.41666650772095,NA,17.6666660308838,17,17.6666660308838
60.17,22.206,0,2024,NA,5.29166650772095,4.75,4.79166650772095,2.70833325386047,NA,5.16666650772095,NA,NA,3.04166674613953,4.875,4.04166650772095,3.91666674613953,5.75,4.875,NA,17.6666660308838,17.6666660308838,17.5
60.420083,22.440838,0,2024,5.875,4.83333349227905,4.75,4.125,6.04166650772095,4.25,4.58333349227905,4.25,3.25,5.16666650772095,5,4.70833349227905,4.29166650772095,3.33333325386047,5.625,17.6666660308838,18,17.6666660308838,16.8333339691162
60.420083,22.440838,0,2024,5.875,4.83333349227905,4.75,4.375,5.5,4.54166650772095,2.375,4.375,4.58333349227905,2.75,3.95833325386047,4.375,NA,4.58333349227905,17.8333339691162,17.1666660308838,17.6666660308838,17.6666660308838,18
60.420083,22.440838,0,2024,5.875,5.29166650772095,4.75,5.29166650772095,5.5,3.33333325386047,NA,5,5.875,2.875,5.25,4.83333349227905,6.16666650772095,4.25,17.8333339691162,17.1666660308838,17.6666660308838,17.8333339691162,17.6666660308838
60.420083,22.440838,0,2024,5.875,5.29166650772095,4.75,3.83333325386047,5,4.66666650772095,6.08333349227905,2.875,NA,4.58333349227905,4.58333349227905,5.29166650772095,3.625,4.83333349227905,17.8333339691162,17.1666660308838,17.6666660308838,17.6666660308838,NA
60.420083,22.440838,0,2024,5.875,4.83333349227905,4.75,4.79166650772095,5,5.08333349227905,4.95833349227905,4.20833349227905,5.75,3.66666674613953,4.875,5.45833349227905,NA,5.875,17.8333339691162,17.1666660308838,18,17.6666660308838,17.8333339691162
60.420083,22.440838,0,2024,5.875,4.83333349227905,4.75,4.125,4.875,4.20833349227905,5.08333349227905,5.04166650772095,6.29166650772095,5.66666650772095,NA,6.04166650772095,5.66666650772095,4.875,17.8333339691162,17.1666660308838,17.6666660308838,17.6666660308838,18.1666660308838
60.420083,22.440838,0,2024,5.875,5.29166650772095,4.75,3.5,5,5.625,1.04166662693024,5,3.5,6,3.54166674613953,3.58333325386047,5.66666650772095,5.5,17.8333339691162,17.1666660308838,17.6666660308838,17.6666660308838,16
